FullName,NOM,PRENOM,ADRESSE,CODE_POSTAL,LOCALITE,GOUVERNORAT,SPECIALITE,CATEGORIE_PRESTATAIRE,APC,NameAr,Delegations_Name,Delegations_NameAr,Delegations_Value,Delegations_Latitude,Delegations_Longitude
SOUHAIL M'GASSEB,M'GASSEB,SOUHAIL,RTE DE MENZEL CHAKER KM 1.8 CITE AL SOUROUR IMM SALWA B2 SFAX,3072,MERKEZ CHAKER,SFAX,PHYSIOTHERAPIE,CABINET MEDICAL DE GROUPE,NON,بنزرت,SFAX EST (Merkez Chaker),صفاقس الشرقية (مركز شاكر),SFAX EST,34.7406,10.76
NEFISSA CHATTI,CHATTI,NEFISSA,"AVENUE HABIB BOURGUIBA  IMMEUBLE ""LA JARRE I"" 2eme ETAGE APP B2-3",8000,NABEUL,NABEUL,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
AICHA SELMA BEN YAAKOUB,BEN YAAKOUB,AICHA SELMA,123 AV MED ALI,6000,GABES VILLE,GABES,MEDECIN DENTISTE,CABINET DE RADIOLOGIE,NON,القصرين,GABES MEDINA (Cite Ben Kilani),قابس المدينة (حي بن كيلاني),GABES MEDINA,33.8815,10.0982
SLIMANE FERSI EP. GUIZANI,FERSI EP. GUIZANI,SLIMANE,46 AV.TAIEB M'HIRI  1ER ETAGE APPN°2,2076,MARSA ERRIADH,TUNIS,UROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,القصرين,LA MARSA (Cite Essalama),المرسى (حي السلامة),LA MARSA,36.8775,10.3275
ikrem NEILA,NEILA,ikrem,192 AV HABIB BOURGUIBA,8000,NABEUL,NABEUL,NEUROLOGIE,APC,APC,توزر,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
ILIES LAAROUSSI,LAAROUSSI,ILIES,COMOLEXE RIBAT MADINA BUREAU N 509,3027,SFAX JADIDA,SFAX,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,بن عروس,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
ABDELAALI FELAH,FELAH,ABDELAALI,"41,Rue Mongi Slim",1160,NADHOUR,ZAGHOUAN,ENDOCRINOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,تونس,ENNADHOUR (Ben Halaoua),الناظور (بن حلاوة),ENNADHOUR,36.2333,10.1
FEHRI ETTAYEB,ETTAYEB,FEHRI,    13  BIS  AV DES ETATS UNIS D AMERIQUE,1002,TUNIS BELVEDERE,TUNIS,MEDECIN DENTISTE,OFFICINE DE JOUR,NON,قفصة,BAB BHAR (Hedi Chaker),باب بحر (الهادي شاكر),BAB BHAR,36.7981,10.1803
YASSINE YOUSSEF HSAIRI,HSAIRI,YASSINE YOUSSEF,34 RUE D'ALGERIE CENTRE AMIRA 1er ETAGE APP. N°1,2050,HAMMAM-LIF,BEN AROUS,MEDECINE CARCINOLOGIQUE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,HAMMAM LIF (Cite Des Ouvriers),حمام الأنف (حي العمال),HAMMAM LIF,36.728,10.336
MOHAMED EL HéDI GHAMMAM,GHAMMAM,MOHAMED EL HéDI,HOPITAL REGIONAL MED B SASSI GABES,6014,MTORRECH,GABES,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,سوسة,GABES SUD (Cite Azaiez),قابس الجنوبية (حي العزايز),GABES SUD,33.8305,10.0702
SAMEH CHAFRA,CHAFRA,SAMEH,AV HABIB BOURGUIBA AVANT BTB,1200,KASSERINE,KASSERINE,ANATOMIE PATHOLOGIQUE,CABINET MEDICAL INDIVIDUEL,NON,الكاف,KASSERINE NORD (Doughra),القصرين الشمالية (الدغرة),KASSERINE NORD,35.1711,8.8325
LEITH DJERBI,DJERBI,LEITH,"""SAPHIR MEDICAL"" 26 RUE AZIZA OTHMANA  MUTUELLEVILLE",1082,CITE MAHRAJENE,TUNIS,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,تونس,EL MENZAH (Cite Caravelles),المنزه (حي كارافال),EL MENZAH,36.8528,10.1703
MOHAMED FEHMI CHAABOUNI EP KAMMOUN,CHAABOUNI EP KAMMOUN,MOHAMED FEHMI,N 29 AV MONGI SLIM,8080,MENZEL TEMIME,NABEUL,OPHTALMOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,المهدية,MENZEL TEMIME (Beni Abdelaziz),منزل تميم (بني عبد العزيز),MENZEL TEMIME,36.7833,11.0167
MAIHANA MAROUENE,MAROUENE,MAIHANA,PLACE 7 NOVEMBRE EN DESSUS PHARMACIE MOHSEN B HMIDA,2111,GAFSA-GARE,GAFSA,GASTRO-ENTEROLOGIE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,EL KSAR (Cite Bab Ettoub),القصر (حي باب الطوب),EL KSAR,34.411,8.761
NEJM GHDAMSI,GHDAMSI,NEJM,"RESIDENCE ""JINEN AIN ZAGHOUAN "" APP N°A01 , CITE EL WAHAT",2045,CITE M'HIRI,TUNIS,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,المنستير,LA MARSA (Cite El Mhiri),المرسى (حي المهيري),LA MARSA,36.8775,10.3275
MOHD AMIN EL TURK,EL TURK,MOHD AMIN,BOUARADA,6180,BOUARADA,SILIANA,RADIOLOGIE (DIAGNOSTIC),CABINET MEDICAL INDIVIDUEL,NON,سوسة,BOU ARADA (Cite El Bassatine),بوعرادة (حي البساتين),BOU ARADA,36.3333,9.6333
SALSABIL ZARRAD,ZARRAD,SALSABIL,"6, AVENUE DE CARTHAGE",1000,TUNIS RP (VILLE),TUNIS,MEDECINE GENERALE,APC,APC,مدنين,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
HAYTHAM BEL HAJ,BEL HAJ,HAYTHAM,RUE IBN EL JAZZAR. DAWALI,2151,GAFSA AEROPORT,GAFSA,PHYSIOTHERAPIE,APC,APC,منوبة,EL KSAR (Gafsa Aeroport),القصر (مطار قفصة),EL KSAR,34.3919,8.8222
ILIES GHOZI,GHOZI,ILIES,RUE 7 NOVEMBRE KSAR GAFSA,2111,GAFSA-GARE,GAFSA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,EL KSAR (Cite Bab Ettoub),القصر (حي باب الطوب),EL KSAR,34.411,8.761
SEIF ALLAH BEN JAOUIDA,BEN JAOUIDA,SEIF ALLAH,SIDI ACHOUR AVENUE SOUK AHRASS Imm  LIVING HOME 1er ETAGE BUREAU N° 01,8000,NABEUL,NABEUL,DERMATOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
JAMOUSSI SAKOUHI,SAKOUHI,JAMOUSSI,18 RUE MANNOUBI JARJARE,2025,SALAMBO,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,قفصة,CARTHAGE (Salambo),قرطاج (صلامبو),CARTHAGE,36.8536,10.3256
AHMED KARIM KHALFET,KHALFET,AHMED KARIM,51 AVENUE HABIB BOURGUIBA,7000,BIZERTE,BIZERTE,O.R.L.,CABINET MEDICAL INDIVIDUEL,NON,بن عروس,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,37.2744,9.8739
SONDESS AMERI,AMERI,SONDESS,Route Bizerte Cite El Hidhab -Zahana,7060,UTIQUE,BIZERTE,PHYSIOTHERAPIE,CABINET DE KINESITHERAPIE,NON,تطاوين,UTIQUE (Cite Bourguiba),أوتيك (حي بورقيبة),UTIQUE,37.0537,10.0589
MOUEZZ HABIB HAGGUI,HAGGUI,MOUEZZ HABIB,AVENUE 20 MARS DARDOUR,4060,KALAA EL KEBIRA,SOUSSE,OPHTALMOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,المهدية,KALAA EL KEBIRA (Ahel  Jemiaa),القلعة الكبرى (أهل جميعة),KALAA EL KEBIRA,35.8697,10.5544
ZAIEN GASSOUMI,GASSOUMI,ZAIEN,RUE DES SAVANTS IMMEUBLE DAR ETTABIB 3 ETAGE,1200,KASSERINE,KASSERINE,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,KASSERINE NORD (Doughra),القصرين الشمالية (الدغرة),KASSERINE NORD,35.1711,8.8325
MED.AYMEN LIMAIEM,LIMAIEM,MED.AYMEN,ROUTE OUESLATIA  AVEUNUE  HEDI CHAKER,3100,KAIROUAN,KAIROUAN,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,جندوبة,KAIROUAN SUD (Cite El Moez),القيروان الجنوبية (حي المعز),KAIROUAN SUD,35.6772,10.098
DHEKRA ILAHI,ILAHI,DHEKRA,CENTRE MEDICAL  SAPHIR . AV. MUSTAPHA  MOHSEN .,2073,BORJ LOUZIR,ARIANA,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,سوسة,LA SOUKRA (Borj Louzir),سكرة (برج الوزير),LA SOUKRA,36.8717,10.2283
MESSOUD HASSAINI,HASSAINI,MESSOUD,18 RUE HABIB ECHATTI EL MANAR 1,2092," EL MANAR (I, II, III)",TUNIS,OPHTALMOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
NADHIRA BEN AZZOUZ,BEN AZZOUZ,NADHIRA,POLYCLINIQUE LES BERGES DU LAC .,1053,LES BERGES DU LAC,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,نابل,LA MARSA (Berge Du Lac),المرسى (ضفاف البحيرة),LA MARSA,36.8775,10.3275
NADA SABBAH,SABBAH,NADA,RUE 29 JANVIER,8013,EL MAAMOURA,NABEUL,CHIRURGIE ORTHOPEDIQUE,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,BENI KHIAR (El Maamoura),بني خيار (المعمورة),BENI KHIAR,36.45,10.7833
MED HEDI MARNISSI,MARNISSI,MED HEDI,APP A 2 . LOT 150 . RUE ABOU LOUBABA  ALANSARI. PETITE ARIANA,2083,LA GAZELLE,ARIANA,PHYSIOTHERAPIE,CABINET DE KINESITHERAPIE,NON,منوبة,RAOUED (Cite De La Rtt 2),رواد (حي الإتصالات 2),RAOUED,36.908,10.2
MEHDI GAZBAR,GAZBAR,MEHDI,IMMOBILIERE  MEDICALE (CLINIQUE LES OLIVIERS),4051,SOUSSE KHEZAMA,SOUSSE,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,القيروان,SOUSSE JAOUHARA (Cite De La Steg),سوسة جوهرة (حي الشركة التونسية للكهرباء والغاز),SOUSSE JAOUHARA,35.8269,10.63
ASMA DORAYET HENIA,HENIA,ASMA DORAYET,Route de Medenine Km 0.2,4170,ZARZIS,MEDENINE,MEDECINE GENERALE,LABORATOIRE D'ANALYSES,NON,باجة,ZARZIS (Beni Fetaiel),جرجيس (بني فطايل),ZARZIS,33.5028,11.1122
MOHAMED MOKHTAR AMINE TARCHOUL,TARCHOUL,MOHAMED MOKHTAR AMINE,"19, Rue Mahmoud El Matri. Cité Taieb M'Hiri.",2040,RADèS VILLE,BEN AROUS,O.R.L.,OFFICINE DE NUIT,NON,توزر,RADES (Chouchet Rades),رادس (شوشة رادس),RADES,36.805,10.295
MOUIN maoudoud,maoudoud,MOUIN,CENTRE MEDICAL ALPHA 2EME ETAGE 09 BIS AVENUE FARHAT HACHED,2013,BEN AROUS EST,BEN AROUS,O.R.L.,CABINET MEDICAL INDIVIDUEL,NON,مدنين,BEN AROUS (Ben Arous),بن عروس (بن عروس),BEN AROUS,36.7539,10.2276
RANIM SALMOUK,SALMOUK,RANIM,74 AVE HABIB BOURGUIBA CENTRE MEDICAL GARGOURI,2000,BARDO,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,المهدية,EL OMRANE (Ras Tabia),العمران (رأس الطابية),EL OMRANE,36.8167,10.1667
BACHA LAMINE BEL HADJ ABDALLAH,BEL HADJ ABDALLAH,BACHA LAMINE,Centre Hamed Medical Av. Moheddine Klibi 1 er Etage bUREAU 6,2092," EL MANAR (I, II, III)",TUNIS,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,المهدية,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
ANAS BEJHAJ,BEJHAJ,ANAS,RUE 14 JANVIER CITE EL AMAL 5,6033,CITE AMAL,GABES,MEDECIN DENTISTE,APC,APC,جندوبة,GABES SUD (Cite El Amel),قابس الجنوبية (حي الأمل),GABES SUD,33.855,10.085
ZEKIA BOUCHOUICHA,BOUCHOUICHA,ZEKIA,RES SARRA 1 er ETAGE APP 5 NOUVELLE MEDINA III,2013,BEN AROUS EST,BEN AROUS,RADIOLOGIE (DIAGNOSTIC),CABINET MEDICAL INDIVIDUEL,NON,القيروان,BEN AROUS (Ben Arous),بن عروس (بن عروس),BEN AROUS,36.7539,10.2276
GHENI GARGOURI ESSAFI,ESSAFI,GHENI GARGOURI,AV  HEDI NOUIRA  IMM LE FORUM  ENNASR II,2037,EL MENZAH 7 - ENNASR II,ARIANA,PHARMACIEN D'OFFICINE DE JOUR,CABINET DE RADIOLOGIE,NON,تونس,ARIANA VILLE (Centre Commercial Ikram),أريانة المدينة (المركب التجاري إكرام),ARIANA VILLE,36.8653,10.1682
ABDELKADER ERNEZ,ERNEZ,ABDELKADER,SNCFT INFIRMERIE DE GAAFOUR,6110,GAAFOUR,SILIANA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,سوسة,GAAFOUR (Cite Du Battoire),قعفور (حي الباطوار),GAAFOUR,36.2833,9.3167
SVETLANA MGUIDICH,MGUIDICH,SVETLANA,RTE DE L'AEROPORT KM 9 EL HAJEB,3078,HAJEB,SFAX,RADIOLOGIE (DIAGNOSTIC),APC,APC,القيروان,SFAX SUD (El Hajeb),صفاقس الجنوبية (الحاجب),SFAX SUD,34.7406,10.76
KHADHRA GHNIMI,GHNIMI,KHADHRA,Rue 10321 N° 1 El Ouardia 4,1009,EL OUERDIA,TUNIS,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,زغوان,EL OUERDIA (Bellevue),الوردية (بلڤو),EL OUERDIA,36.775,10.1886
RAHMA KAMOUN,KAMOUN,RAHMA,RTE DE TENIOUR KM 9 PRES DE LA SALLE LES PYRAMIDAS,3041,MERKEZ CHIHIA,SFAX,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,تونس,SAKIET EZZIT (Cite 20 Mars),ساقية الزيت (حي 20 مارس),SAKIET EZZIT,34.8183,10.7469
MAISSA OUERDIANE,OUERDIANE,MAISSA,33.Rue d'Alger Imm. Belkahia entre Lido et Select-RDC 7000 Bizerte,7000,BIZERTE,BIZERTE,MEDECIN DENTISTE,CABINET DE CHIRURGIE DENTAIRE,NON,المنستير,BIZERTE NORD (Bizerte),بنزرت الشمالية (بنزرت),BIZERTE NORD,37.2744,9.8739
FARHT EL MEDDEB,EL MEDDEB,FARHT,128 AV HABIB BOURGUIBA,8000,NABEUL,NABEUL,MEDECIN DENTISTE,APC,APC,توزر,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
MOHAMED AMINE BOUICHA,BOUICHA,MOHAMED AMINE,244 AVENUE HABIB BOURGUIBA,5121,REJICHE,MAHDIA,PHARMACIEN D'OFFICINE DE JOUR,CABINET DE KINESITHERAPIE,NON,بن عروس,MAHDIA (Cite Nouvelle),المهدية (الحي الجديد),MAHDIA,35.5044,11.0567
MAJDI KAYEL,KAYEL,MAJDI,rt  el  ain  kl 1.5  imm prestige 1er etage,3042,EL AIN,SFAX,MEDECINE GENERALE,CABINET DE CHIRURGIE DENTAIRE,NON,القيروان,SFAX SUD (El Ain),صفاقس الجنوبية (العين),SFAX SUD,34.7406,10.76
SELSABIL GARAALI,GARAALI,SELSABIL,AV. DES MARTYRS IMM. LES GALERIES 1ER ETAFE   ESC.15,3027,SFAX JADIDA,SFAX,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,المهدية,SFAX VILLE (Sfax El Jadida),صفاقس المدينة (صفاقس الجديدة),SFAX VILLE,34.7406,10.76
MOHAMED LANNOUER KHALLOULI,KHALLOULI,MOHAMED LANNOUER,IMMEUBLE MABROUKA 2.3EME ETAGE APP.C3.5 AVENUE HEDI NOUIRA,2063,MEDINA JEDIDA,BEN AROUS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,NOUVELLE MEDINA (Nouvelle Medina),المدينة الجديدة (المدينة الجديدة),NOUVELLE MEDINA,36.75,10.23
LAMOUCHI EL MUFTI,EL MUFTI,LAMOUCHI,RESIDENCE IBN JAZAR 1 BLOC A9 APP N°1 AV DES MARTYRS,2074,EL MOUROUJ I,BEN AROUS,PEDIATRIE,CABINET DE CHIRURGIE DENTAIRE,NON,باجة,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,36.7405,10.2042
BASSAM harguem,harguem,BASSAM,IMM TIBA RTE AIN KM 5.,3042,EL AIN,SFAX,ENDOCRINOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,توزر,SFAX SUD (El Ain),صفاقس الجنوبية (العين),SFAX SUD,34.7406,10.76
MED KARIM ROUINI,ROUINI,MED KARIM,2  RUE TAHER SFAR,2092," EL MANAR (I, II, III)",TUNIS,PHYSIOTHERAPIE,CABINET DE KINESITHERAPIE,NON,تونس,EL MENZAH (Cite Des Medecins),المنزه (حي الأطباء),EL MENZAH,36.8528,10.1703
AFEK CHAMMAM,CHAMMAM,AFEK,55 AVENUE SIDI ABDALLAH PRES CAFE ERREKAZ HOMAT CHARKIA,5170,LA CHEBBA,MAHDIA,MEDECIN DENTISTE,CABINET DE CHIRURGIE DENTAIRE,NON,نابل,LA CHEBBA (Cite De La Plage),الشابة (حي الشاطئ),LA CHEBBA,35.2375,11.1125
MOHAMED LASSAAD FADHLAOUI,FADHLAOUI,MOHAMED LASSAAD," 14, RUE IBN TAFRAGINE BELVEDERE",1002,TUNIS BELVEDERE,TUNIS,PNEUMO-PHTISIOLOGIE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,BAB BHAR (Hedi Chaker),باب بحر (الهادي شاكر),BAB BHAR,36.7981,10.1803
HACENE ZAKI EL MARIEMI,EL MARIEMI,HACENE ZAKI,CARREFOUR MEDICAL AVENUE DES MARTYRS MOUROUJ 1,2074,EL MOUROUJ I,BEN AROUS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,EL MOUROUJ (Cite El Bochra),المروج (حي البشرى),EL MOUROUJ,36.7405,10.2042
ben abid BEN HANI,BEN HANI,ben abid,33 AVENUE DE L'INDEPENDANCE CHEBAOU,2021,OUED ELLIL,MANOUBA,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,سوسة,OUED ELLIL (Cite 7 Novembre),وادي الليل (حي 7 نوفمبر),OUED ELLIL,36.8311,10.0347
ALOUANE ZRIBI ABDELLI,ZRIBI ABDELLI,ALOUANE,11 RUE MALEK IBN ANAS,2040,RADèS VILLE,BEN AROUS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,مدنين,RADES (Chouchet Rades),رادس (شوشة رادس),RADES,36.805,10.295
SAFWEN MEDDEB,MEDDEB,SAFWEN,"AVENUE HEDI NOUIRA ""CENTRE MEDICAL EYA "" 03 eme ETAGE BLOC B-BUREAU B3.1",8000,NABEUL,NABEUL,PHYSIOTHERAPIE,APC,APC,تطاوين,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
AKREM BOUZIR,BOUZIR,AKREM,AVENUE HABIB BOURGUIBA IMM SOUSSI 1ER ETAGE,5100,MAHDIA,MAHDIA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,أريانة,MAHDIA (Cite Afh),المهدية (حي الوكالة العقارية للسكنى),MAHDIA,35.5044,11.0567
RKIA EL AFRIT,EL AFRIT,RKIA,PLACE FARHAT HACHED IMM BEN DHIAB,4000,SOUSSE MEDINA,SOUSSE,MEDECINE GENERALE,CABINET DE KINESITHERAPIE,NON,سوسة,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
belhadj rhouma Dermech,Dermech,belhadj rhouma,4 AVENUE DE L'INDEPENDANCE,2011,DEN DEN,MANOUBA,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,MANNOUBA (Denden),منوبة (الدندان),MANNOUBA,36.8097,10.0928
IHEB ALI TORKI,TORKI,IHEB ALI,TANIT MEDICAL AV. DU JAPON,1073,MONTPLAISIR,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,المهدية,BAB BHAR (Montplaisir),باب بحر (مونبليزير),BAB BHAR,36.7981,10.1803
KHROUF HOUCINE IDRISS,HOUCINE IDRISS,KHROUF,EPS LA RABTA,1006,TUNIS BAB SOUIKA,TUNIS,BIOLOGIE CLINIQUE,CABINET DE KINESITHERAPIE,NON,القصرين,BAB SOUIKA (Bab El Akoues),باب سويقة (باب الأقواس),BAB SOUIKA,36.8,10.1667
toumi BEN RHAIEM,BEN RHAIEM,toumi,12 RUE MONGI SLIM,1000,TUNIS RP (VILLE),TUNIS,GYNECOLOGIE-OBSTETRIQUE,CABINET MEDICAL INDIVIDUEL,NON,القيروان,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
CHADHELY LANDOLSI,LANDOLSI,CHADHELY,59 RUE DR MOREAU IMM IBN ROCHD,4000,SOUSSE MEDINA,SOUSSE,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,SOUSSE VILLE (Cite Boukhzar),سوسة المدينة (حي بوخزر),SOUSSE VILLE,35.8269,10.63
HADDAR RAIES,RAIES,HADDAR,AV. FARHAT HACHED,8000,NABEUL,NABEUL,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,تطاوين,NABEUL (Ain Kemicha),نابل (عين كميشة),NABEUL,36.4561,10.7358
SAIDA AIDA NACCACHE,NACCACHE,SAIDA AIDA,R4  PRES  DE  HAMMAM,5000,MONASTIR,MONASTIR,OPHTALMOLOGIE,OFFICINE DE JOUR,NON,المنستير,MONASTIR (Monastir),المنستير (المنستير),MONASTIR,35.7644,10.8
JAMIL MAHDAOUI,MAHDAOUI,JAMIL,"24, Boulevard Taieb M'hiri",2065,EZZAHRA EL HABIB,BEN AROUS,NEURO-CHIRURGIE,CABINET MEDICAL INDIVIDUEL,NON,جندوبة,EZZAHRA (Cite Ben Miled),الزهراء (حي بن ميلاد),EZZAHRA,36.74,10.305
MOHAMED FAOUZI GHERIBI,GHERIBI,MOHAMED FAOUZI,9 RUE D ANGLETERRE TUNIS,1000,TUNIS RP (VILLE),TUNIS,GYNECOLOGIE-OBSTETRIQUE,CABINET DE KINESITHERAPIE,NON,منوبة,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
HMIDA MAMOU,MAMOU,HMIDA,58 RUE ECHEM 1ER ETAGE APPT. N°2,1000,TUNIS RP (VILLE),TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,القيروان,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
MOHAMED MONTASSER HAZMI,HAZMI,MOHAMED MONTASSER,21 BIS RUE CHARLES DE GAULLES,1000,TUNIS RP (VILLE),TUNIS,MEDECIN DENTISTE,CABINET DE KINESITHERAPIE,NON,صفاقس,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
LAILA LOBNA,LOBNA,LAILA,AVENUE DE LA REPUBLIQUE - IMMEUBLE BOUHLEL EN FACE GRANDE MOSQUEE,4070,M'SAKEN,SOUSSE,PHYSIOTHERAPIE,CABINET MEDICAL INDIVIDUEL,NON,الكاف,MSAKEN (Msaken),مساكن (مساكن),MSAKEN,35.7275,10.5803
ASSYL SKHIRI,SKHIRI,ASSYL,1 AVENUE 2 MARS 1934 CENTRE MEDICAL MANOUBA,2010,MANOUBA,MANOUBA,MEDECINE GENERALE,OFFICINE DE NUIT,NON,جندوبة,MANNOUBA (La Mannouba),منوبة (منوبة),MANNOUBA,36.8097,10.0928
KAISS BASMA,BASMA,KAISS,MINISTERE DE L'INTERIEUR DISPENSAIRE HOUCINE BOUZAYENE,1000,TUNIS RP (VILLE),TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,صفاقس,BAB BHAR (Bab Bhar),باب بحر (باب بحر),BAB BHAR,36.7981,10.1803
AMOR BOUALLEGUE,BOUALLEGUE,AMOR,19 RUE DE LIBYE APPT B6 3ETAGE,1002,TUNIS BELVEDERE,TUNIS,PHARMACIEN D'OFFICINE DE JOUR,CABINET MEDICAL INDIVIDUEL,NON,سيدي بوزيد,BAB BHAR (Hedi Chaker),باب بحر (الهادي شاكر),BAB BHAR,36.7981,10.1803
AMIN HADHRI SLIMANE,HADHRI SLIMANE,AMIN,av hedi chaker rte oueslatia,3100,KAIROUAN,KAIROUAN,MEDECIN DENTISTE,CABINET DE RADIOLOGIE,NON,نابل,KAIROUAN SUD (Cite El Moez),القيروان الجنوبية (حي المعز),KAIROUAN SUD,35.6772,10.098
KHEDIRI KADOUR,KADOUR,KHEDIRI,7 RUE 8000 IMMBLE MONTPLAISIR,1002,TUNIS BELVEDERE,TUNIS,MEDECINE GENERALE,OFFICINE DE JOUR,NON,صفاقس,BAB BHAR (Hedi Chaker),باب بحر (الهادي شاكر),BAB BHAR,36.7981,10.1803
ZINE EL ABIDINE KRARTI,KRARTI,ZINE EL ABIDINE,"EL GHAZELA CENTRE 2èmeETAGE CABINET 204 EN FACE ""TUNISIE TELECOM""",2083,LA GAZELLE,ARIANA,PHYSIOTHERAPIE,CABINET DE KINESITHERAPIE,NON,نابل,RAOUED (Cite De La Rtt 2),رواد (حي الإتصالات 2),RAOUED,36.908,10.2
ABDELMOULA HANABLIA,HANABLIA,ABDELMOULA,imm el manar 41 ave habib bourguiba 1 er etage app b12 2000 bardo,2000,BARDO,TUNIS,MEDECINE GENERALE,CABINET MEDICAL INDIVIDUEL,NON,توزر,EL OMRANE (Ras Tabia),العمران (رأس الطابية),EL OMRANE,36.8167,10.1667
CHIRAZ Brayek,Brayek,CHIRAZ,CLINIQUES LES OLIVIERS BD 7 NOVEMBRE,4051,SOUSSE KHEZAMA,SOUSSE,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,جندوبة,SOUSSE JAOUHARA (Cite De La Steg),سوسة جوهرة (حي الشركة التونسية للكهرباء والغاز),SOUSSE JAOUHARA,35.8269,10.63
ABDENACEUR HAJRI BEN MNA,HAJRI BEN MNA,ABDENACEUR,12 RUE 6587 CITE IBN KHALDOUN,2062,CITE IBN KHALDOUN,TUNIS,MEDECIN DENTISTE,CABINET MEDICAL INDIVIDUEL,NON,سليانة,EL OMRANE SUPERIEUR (Cite Ibn Khaldoun I),العمران الأعلى (حي إبن خلدون 1),EL OMRANE SUPERIEUR,36.8264,10.1506
